Source,Target,Type,Id,Label,Weight,MMNT-EdgeType
Action,Free to Play,Undirected,76418,Genres-Genres,673,Genres<--->Genres
Action,Strategy,Undirected,76419,Genres-Genres,1505,Genres<--->Genres
Action,Adventure,Undirected,76420,Genres-Genres,4528,Genres<--->Genres
Action,Indie,Undirected,76421,Genres-Genres,9184,Genres<--->Genres
Action,RPG,Undirected,76422,Genres-Genres,1768,Genres<--->Genres
Action,Animation & Modeling,Undirected,76423,Genres-Genres,1,Genres<--->Genres
Action,Video Production,Undirected,76424,Genres-Genres,1,Genres<--->Genres
Action,Casual,Undirected,76425,Genres-Genres,3403,Genres<--->Genres
Action,Simulation,Undirected,76426,Genres-Genres,1559,Genres<--->Genres
Action,Racing,Undirected,76427,Genres-Genres,511,Genres<--->Genres
Action,Violent,Undirected,76428,Genres-Genres,607,Genres<--->Genres
Action,Massively Multiplayer,Undirected,76429,Genres-Genres,434,Genres<--->Genres
Action,Nudity,Undirected,76430,Genres-Genres,87,Genres<--->Genres
Action,Sports,Undirected,76431,Genres-Genres,557,Genres<--->Genres
Action,Early Access,Undirected,76432,Genres-Genres,1715,Genres<--->Genres
Action,Gore,Undirected,76433,Genres-Genres,384,Genres<--->Genres
Action,Design & Illustration,Undirected,76434,Genres-Genres,1,Genres<--->Genres
Action,Education,Undirected,76435,Genres-Genres,1,Genres<--->Genres
Action,Sexual Content,Undirected,76436,Genres-Genres,58,Genres<--->Genres
Action,Audio Production,Undirected,76437,Genres-Genres,1,Genres<--->Genres
Free to Play,Strategy,Undirected,76438,Genres-Genres,411,Genres<--->Genres
Free to Play,Adventure,Undirected,76439,Genres-Genres,499,Genres<--->Genres
Free to Play,Indie,Undirected,76440,Genres-Genres,1079,Genres<--->Genres
Free to Play,RPG,Undirected,76441,Genres-Genres,380,Genres<--->Genres
Free to Play,Animation & Modeling,Undirected,76442,Genres-Genres,5,Genres<--->Genres
Free to Play,Video Production,Undirected,76443,Genres-Genres,2,Genres<--->Genres
Free to Play,Casual,Undirected,76444,Genres-Genres,660,Genres<--->Genres
Free to Play,Simulation,Undirected,76445,Genres-Genres,339,Genres<--->Genres
Free to Play,Racing,Undirected,76446,Genres-Genres,55,Genres<--->Genres
Free to Play,Violent,Undirected,76447,Genres-Genres,39,Genres<--->Genres
Free to Play,Massively Multiplayer,Undirected,76448,Genres-Genres,350,Genres<--->Genres
Free to Play,Nudity,Undirected,76449,Genres-Genres,14,Genres<--->Genres
Free to Play,Sports,Undirected,76450,Genres-Genres,91,Genres<--->Genres
Free to Play,Early Access,Undirected,76451,Genres-Genres,241,Genres<--->Genres
Free to Play,Gore,Undirected,76452,Genres-Genres,22,Genres<--->Genres
Free to Play,Utilities,Undirected,76453,Genres-Genres,3,Genres<--->Genres
Free to Play,Design & Illustration,Undirected,76454,Genres-Genres,6,Genres<--->Genres
Free to Play,Web Publishing,Undirected,76455,Genres-Genres,3,Genres<--->Genres
Free to Play,Education,Undirected,76456,Genres-Genres,4,Genres<--->Genres
Free to Play,Software Training,Undirected,76457,Genres-Genres,3,Genres<--->Genres
Free to Play,Sexual Content,Undirected,76458,Genres-Genres,21,Genres<--->Genres
Free to Play,Audio Production,Undirected,76459,Genres-Genres,2,Genres<--->Genres
Free to Play,Game Development,Undirected,76460,Genres-Genres,2,Genres<--->Genres
Free to Play,Photo Editing,Undirected,76461,Genres-Genres,2,Genres<--->Genres
Free to Play,Accounting,Undirected,76462,Genres-Genres,2,Genres<--->Genres
Strategy,Adventure,Undirected,76463,Genres-Genres,1227,Genres<--->Genres
Strategy,Indie,Undirected,76464,Genres-Genres,3672,Genres<--->Genres
Strategy,RPG,Undirected,76465,Genres-Genres,1155,Genres<--->Genres
Strategy,Animation & Modeling,Undirected,76466,Genres-Genres,1,Genres<--->Genres
Strategy,Video Production,Undirected,76467,Genres-Genres,2,Genres<--->Genres
Strategy,Casual,Undirected,76468,Genres-Genres,1920,Genres<--->Genres
Strategy,Simulation,Undirected,76469,Genres-Genres,1623,Genres<--->Genres
Strategy,Racing,Undirected,76470,Genres-Genres,69,Genres<--->Genres
Strategy,Violent,Undirected,76471,Genres-Genres,110,Genres<--->Genres
Strategy,Massively Multiplayer,Undirected,76472,Genres-Genres,218,Genres<--->Genres
Strategy,Nudity,Undirected,76473,Genres-Genres,20,Genres<--->Genres
Strategy,Sports,Undirected,76474,Genres-Genres,213,Genres<--->Genres
Strategy,Early Access,Undirected,76475,Genres-Genres,713,Genres<--->Genres
Strategy,Gore,Undirected,76476,Genres-Genres,59,Genres<--->Genres
Strategy,Utilities,Undirected,76477,Genres-Genres,1,Genres<--->Genres
Strategy,Design & Illustration,Undirected,76478,Genres-Genres,1,Genres<--->Genres
Strategy,Web Publishing,Undirected,76479,Genres-Genres,1,Genres<--->Genres
Strategy,Education,Undirected,76480,Genres-Genres,1,Genres<--->Genres
Strategy,Software Training,Undirected,76481,Genres-Genres,1,Genres<--->Genres
Strategy,Sexual Content,Undirected,76482,Genres-Genres,19,Genres<--->Genres
Strategy,Audio Production,Undirected,76483,Genres-Genres,1,Genres<--->Genres
Strategy,Game Development,Undirected,76484,Genres-Genres,1,Genres<--->Genres
Strategy,Photo Editing,Undirected,76485,Genres-Genres,1,Genres<--->Genres
Strategy,Accounting,Undirected,76486,Genres-Genres,1,Genres<--->Genres
Adventure,Indie,Undirected,76487,Genres-Genres,7620,Genres<--->Genres
Adventure,RPG,Undirected,76488,Genres-Genres,2410,Genres<--->Genres
Adventure,Animation & Modeling,Undirected,76489,Genres-Genres,1,Genres<--->Genres
Adventure,Video Production,Undirected,76490,Genres-Genres,2,Genres<--->Genres
Adventure,Casual,Undirected,76491,Genres-Genres,3567,Genres<--->Genres
Adventure,Simulation,Undirected,76492,Genres-Genres,1425,Genres<--->Genres
Adventure,Racing,Undirected,76493,Genres-Genres,195,Genres<--->Genres
Adventure,Violent,Undirected,76494,Genres-Genres,408,Genres<--->Genres
Adventure,Massively Multiplayer,Undirected,76495,Genres-Genres,252,Genres<--->Genres
Adventure,Nudity,Undirected,76496,Genres-Genres,131,Genres<--->Genres
Adventure,Sports,Undirected,76497,Genres-Genres,170,Genres<--->Genres
Adventure,Early Access,Undirected,76498,Genres-Genres,1009,Genres<--->Genres
Adventure,Gore,Undirected,76499,Genres-Genres,294,Genres<--->Genres
Adventure,Design & Illustration,Undirected,76500,Genres-Genres,1,Genres<--->Genres
Adventure,Education,Undirected,76501,Genres-Genres,1,Genres<--->Genres
Adventure,Sexual Content,Undirected,76502,Genres-Genres,108,Genres<--->Genres
Adventure,Accounting,Undirected,76503,Genres-Genres,1,Genres<--->Genres
Indie,RPG,Undirected,76504,Genres-Genres,3217,Genres<--->Genres
Indie,Animation & Modeling,Undirected,76505,Genres-Genres,8,Genres<--->Genres
Indie,Video Production,Undirected,76506,Genres-Genres,5,Genres<--->Genres
Indie,Casual,Undirected,76507,Genres-Genres,7977,Genres<--->Genres
Indie,Simulation,Undirected,76508,Genres-Genres,3551,Genres<--->Genres
Indie,Racing,Undirected,76509,Genres-Genres,666,Genres<--->Genres
Indie,Violent,Undirected,76510,Genres-Genres,621,Genres<--->Genres
Indie,Massively Multiplayer,Undirected,76511,Genres-Genres,393,Genres<--->Genres
Indie,Nudity,Undirected,76512,Genres-Genres,190,Genres<--->Genres
Indie,Sports,Undirected,76513,Genres-Genres,854,Genres<--->Genres
Indie,Early Access,Undirected,76514,Genres-Genres,2393,Genres<--->Genres
Indie,Gore,Undirected,76515,Genres-Genres,435,Genres<--->Genres
Indie,Utilities,Undirected,76516,Genres-Genres,5,Genres<--->Genres
Indie,Design & Illustration,Undirected,76517,Genres-Genres,6,Genres<--->Genres
Indie,Web Publishing,Undirected,76518,Genres-Genres,5,Genres<--->Genres
Indie,Education,Undirected,76519,Genres-Genres,8,Genres<--->Genres
Indie,Software Training,Undirected,76520,Genres-Genres,4,Genres<--->Genres
Indie,Sexual Content,Undirected,76521,Genres-Genres,182,Genres<--->Genres
Indie,Audio Production,Undirected,76522,Genres-Genres,9,Genres<--->Genres
Indie,Game Development,Undirected,76523,Genres-Genres,1,Genres<--->Genres
Indie,Photo Editing,Undirected,76524,Genres-Genres,2,Genres<--->Genres
Indie,Accounting,Undirected,76525,Genres-Genres,4,Genres<--->Genres
Indie,Documentary,Undirected,76526,Genres-Genres,1,Genres<--->Genres
Indie,Tutorial,Undirected,76527,Genres-Genres,1,Genres<--->Genres
RPG,Animation & Modeling,Undirected,76528,Genres-Genres,1,Genres<--->Genres
RPG,Video Production,Undirected,76529,Genres-Genres,1,Genres<--->Genres
RPG,Casual,Undirected,76530,Genres-Genres,991,Genres<--->Genres
RPG,Simulation,Undirected,76531,Genres-Genres,695,Genres<--->Genres
RPG,Racing,Undirected,76532,Genres-Genres,54,Genres<--->Genres
RPG,Violent,Undirected,76533,Genres-Genres,144,Genres<--->Genres
RPG,Massively Multiplayer,Undirected,76534,Genres-Genres,307,Genres<--->Genres
RPG,Nudity,Undirected,76535,Genres-Genres,62,Genres<--->Genres
RPG,Sports,Undirected,76536,Genres-Genres,67,Genres<--->Genres
RPG,Early Access,Undirected,76537,Genres-Genres,666,Genres<--->Genres
RPG,Gore,Undirected,76538,Genres-Genres,92,Genres<--->Genres
RPG,Utilities,Undirected,76539,Genres-Genres,2,Genres<--->Genres
RPG,Design & Illustration,Undirected,76540,Genres-Genres,1,Genres<--->Genres
RPG,Web Publishing,Undirected,76541,Genres-Genres,1,Genres<--->Genres
RPG,Education,Undirected,76542,Genres-Genres,1,Genres<--->Genres
RPG,Software Training,Undirected,76543,Genres-Genres,1,Genres<--->Genres
RPG,Sexual Content,Undirected,76544,Genres-Genres,50,Genres<--->Genres
RPG,Audio Production,Undirected,76545,Genres-Genres,1,Genres<--->Genres
RPG,Game Development,Undirected,76546,Genres-Genres,1,Genres<--->Genres
RPG,Photo Editing,Undirected,76547,Genres-Genres,1,Genres<--->Genres
RPG,Accounting,Undirected,76548,Genres-Genres,1,Genres<--->Genres
Animation & Modeling,Video Production,Undirected,76549,Genres-Genres,19,Genres<--->Genres
Animation & Modeling,Casual,Undirected,76550,Genres-Genres,9,Genres<--->Genres
Animation & Modeling,Simulation,Undirected,76551,Genres-Genres,5,Genres<--->Genres
Animation & Modeling,Early Access,Undirected,76552,Genres-Genres,21,Genres<--->Genres
Animation & Modeling,Utilities,Undirected,76553,Genres-Genres,53,Genres<--->Genres
Animation & Modeling,Design & Illustration,Undirected,76554,Genres-Genres,54,Genres<--->Genres
Animation & Modeling,Web Publishing,Undirected,76555,Genres-Genres,15,Genres<--->Genres
Animation & Modeling,Education,Undirected,76556,Genres-Genres,25,Genres<--->Genres
Animation & Modeling,Software Training,Undirected,76557,Genres-Genres,21,Genres<--->Genres
Animation & Modeling,Audio Production,Undirected,76558,Genres-Genres,7,Genres<--->Genres
Animation & Modeling,Game Development,Undirected,76559,Genres-Genres,15,Genres<--->Genres
Animation & Modeling,Photo Editing,Undirected,76560,Genres-Genres,8,Genres<--->Genres
Animation & Modeling,Accounting,Undirected,76561,Genres-Genres,3,Genres<--->Genres
Video Production,Casual,Undirected,76562,Genres-Genres,5,Genres<--->Genres
Video Production,Simulation,Undirected,76563,Genres-Genres,2,Genres<--->Genres
Video Production,Violent,Undirected,76564,Genres-Genres,1,Genres<--->Genres
Video Production,Early Access,Undirected,76565,Genres-Genres,6,Genres<--->Genres
Video Production,Gore,Undirected,76566,Genres-Genres,1,Genres<--->Genres
Video Production,Utilities,Undirected,76567,Genres-Genres,24,Genres<--->Genres
Video Production,Design & Illustration,Undirected,76568,Genres-Genres,13,Genres<--->Genres
Video Production,Web Publishing,Undirected,76569,Genres-Genres,8,Genres<--->Genres
Video Production,Education,Undirected,76570,Genres-Genres,9,Genres<--->Genres
Video Production,Software Training,Undirected,76571,Genres-Genres,9,Genres<--->Genres
Video Production,Audio Production,Undirected,76572,Genres-Genres,7,Genres<--->Genres
Video Production,Game Development,Undirected,76573,Genres-Genres,3,Genres<--->Genres
Video Production,Photo Editing,Undirected,76574,Genres-Genres,6,Genres<--->Genres
Video Production,Accounting,Undirected,76575,Genres-Genres,3,Genres<--->Genres
